,tempi,V_in,V_out
116,1.1611611611611612,-1.0,0.1729747385005902
117,1.1711711711711712,-1.0,0.17004303610481286
118,1.1811811811811812,-1.0,0.16711866110844503
119,1.1911911911911912,-1.0,0.16420159519392952
120,1.2012012012012012,-1.0,0.16129182009205018
121,1.2112112112112112,-1.0,0.15838931757961358
122,1.2212212212212212,-1.0,0.1554940694793289
123,1.2312312312312312,-1.0,0.15260605765968743
124,1.2412412412412412,-1.0,0.14972526403484265
125,1.2512512512512513,-1.0,0.14685167056448964
126,1.2612612612612613,-1.0,0.1439852592537451
127,1.2712712712712713,-1.0,0.14112601215302698
128,1.2812812812812813,-1.0,0.13827391135793426
129,1.2912912912912913,-1.0,0.1354289390091267
130,1.3013013013013013,-1.0,0.13259107729220462
131,1.3113113113113113,-1.0,0.12976030843758862
